participant_id,session_id,session_start_time,days_since_baseline,employment_phase
94,94_1593118700,2020-06-25 20:58:20,68,Adjustment_Phase
94,94_1593175365,2020-06-26 12:42:45,69,Adjustment_Phase
94,94_1593182334,2020-06-26 14:38:54,69,Adjustment_Phase
94,94_1593434552,2020-06-29 12:42:32,72,Adjustment_Phase
94,94_1593436507,2020-06-29 13:15:07,72,Adjustment_Phase
94,94_1593441535,2020-06-29 14:38:55,72,Adjustment_Phase
94,94_1593443104,2020-06-29 15:05:04,72,Adjustment_Phase
94,94_1593443279,2020-06-29 15:07:59,72,Adjustment_Phase
94,94_1593446429,2020-06-29 16:00:29,72,Adjustment_Phase
94,94_1593451003,2020-06-29 17:16:43,72,Adjustment_Phase
94,94_1593453273,2020-06-29 17:54:33,72,Adjustment_Phase
94,94_1593454489,2020-06-29 18:14:49,72,Adjustment_Phase
94,94_1593458351,2020-06-29 19:19:11,72,Adjustment_Phase
94,94_1593523361,2020-06-30 13:22:41,73,Adjustment_Phase
94,94_1593608450,2020-07-01 13:00:50,74,Adjustment_Phase
94,94_1593611980,2020-07-01 13:59:40,74,Adjustment_Phase
94,94_1593623016,2020-07-01 17:03:36,74,Adjustment_Phase
94,94_1593635623,2020-07-01 20:33:43,74,Adjustment_Phase
94,94_1593694830,2020-07-02 13:00:30,75,Adjustment_Phase
94,94_1593703320,2020-07-02 15:22:00,75,Adjustment_Phase
94,94_1593710745,2020-07-02 17:25:45,75,Adjustment_Phase
94,94_1593720218,2020-07-02 20:03:38,75,Adjustment_Phase
94,94_1594125017,2020-07-07 12:30:17,80,Adjustment_Phase
94,94_1594129474,2020-07-07 13:44:34,80,Adjustment_Phase
BG,BG_1603671305,2020-10-26 00:15:05,0,Initial_Phase
BG,BG_1603681317,2020-10-26 03:01:57,0,Initial_Phase
BG,BG_1603685056,2020-10-26 04:04:16,0,Initial_Phase
BG,BG_1603692429,2020-10-26 06:07:09,0,Initial_Phase
BG,BG_1603693197,2020-10-26 06:19:57,0,Initial_Phase
BG,BG_1603693561,2020-10-26 06:26:01,0,Initial_Phase
BG,BG_1603929535,2020-10-28 23:58:55,2,Initial_Phase
BG,BG_1603929659,2020-10-29 00:00:59,2,Initial_Phase
BG,BG_1603933213,2020-10-29 01:00:13,3,Initial_Phase
BG,BG_1603934355,2020-10-29 01:19:15,3,Initial_Phase
BG,BG_1603944938,2020-10-29 04:15:38,3,Initial_Phase
BG,BG_1603950453,2020-10-29 05:47:33,3,Initial_Phase
BG,BG_1603951073,2020-10-29 05:57:53,3,Initial_Phase
BG,BG_1603952237,2020-10-29 06:17:17,3,Initial_Phase
BG,BG_1604018298,2020-10-30 00:38:18,4,Initial_Phase
BG,BG_1604018860,2020-10-30 00:47:40,4,Initial_Phase
BG,BG_1604020604,2020-10-30 01:16:44,4,Initial_Phase
BG,BG_1604026527,2020-10-30 02:55:27,4,Initial_Phase
BG,BG_1604028580,2020-10-30 03:29:40,4,Initial_Phase
BG,BG_1604029600,2020-10-30 03:46:40,4,Initial_Phase
BG,BG_1604032944,2020-10-30 04:42:24,4,Initial_Phase
BG,BG_1604036907,2020-10-30 05:48:27,4,Initial_Phase
BG,BG_1604037255,2020-10-30 05:54:15,4,Initial_Phase
BG,BG_1604041261,2020-10-30 07:01:01,4,Initial_Phase
BG,BG_1604043352,2020-10-30 07:35:52,4,Initial_Phase
BG,BG_1604046977,2020-10-30 08:36:17,4,Initial_Phase
BG,BG_1604196392,2020-11-01 02:06:32,6,Initial_Phase
BG,BG_1604197220,2020-11-01 02:20:20,6,Initial_Phase
BG,BG_1604211037,2020-11-01 06:10:37,6,Initial_Phase
BG,BG_1604212249,2020-11-01 06:30:49,6,Initial_Phase
BG,BG_1604569017,2020-11-05 09:36:57,10,Initial_Phase
BG,BG_1604624541,2020-11-06 01:02:21,11,Initial_Phase
BG,BG_1604625917,2020-11-06 01:25:17,11,Initial_Phase
BG,BG_1604637443,2020-11-06 04:37:23,11,Initial_Phase
BG,BG_1604640819,2020-11-06 05:33:39,11,Initial_Phase
BG,BG_1604641179,2020-11-06 05:39:39,11,Initial_Phase
BG,BG_1604646790,2020-11-06 07:13:10,11,Initial_Phase
BG,BG_1604652152,2020-11-06 08:42:32,11,Initial_Phase
